Date;Open;High;Low;Close*;Adj Close**;Volume
Apr 26, 2005;10,240.99;10,263.60;10,048.12;10,251.70;10,251.70;13,263,600
Apr 19, 2005;10,071.55;10,260.20;10,000.46;10,242.47;10,242.47;14,021,700
Apr 12, 2005;10,448.63;10,529.77;10,020.93;10,071.25;10,071.25;15,642,800
Apr 05, 2005;10,421.14;10,557.11;10,419.44;10,448.56;10,448.56;11,864,300
Mar 29, 2005;10,485.65;10,568.93;10,356.71;10,421.14;10,421.14;14,498,900
Mar 22, 2005;10,565.39;10,609.95;10,430.53;10,485.65;10,485.65;10,881,100
Mar 15, 2005;10,804.29;10,838.65;10,534.06;10,565.39;10,565.39;15,307,200
Mar 08, 2005;10,935.60;10,952.45;10,754.41;10,804.51;10,804.51;11,780,800
Mar 01, 2005;10,769.04;10,984.46;10,767.19;10,936.86;10,936.86;11,859,700
Feb 22, 2005;10,783.38;10,845.60;10,608.98;10,766.23;10,766.23;14,020,400
Feb 15, 2005;10,791.06;10,853.43;10,730.32;10,785.22;10,785.22;10,919,600
Feb 08, 2005;10,712.51;10,829.19;10,660.42;10,791.13;10,791.13;12,876,300
Feb 01, 2005;10,489.72;10,733.50;10,489.64;10,715.76;10,715.76;12,569,700
Jan 25, 2005;10,369.42;10,531.99;10,369.42;10,489.94;10,489.94;14,343,300
Jan 18, 2005;10,554.23;10,628.94;10,368.61;10,368.61;10,368.61;12,875,900
Jan 11, 2005;10,619.77;10,622.88;10,485.73;10,558.00;10,558.00;10,794,400
Jan 04, 2005;10,727.81;10,769.56;10,571.74;10,621.03;10,621.03;13,529,500
Dec 28, 2004;10,776.06;10,867.39;10,710.07;10,729.43;10,729.43;8,906,700
Dec 21, 2004;10,661.89;10,868.07;10,661.89;10,776.13;10,776.13;9,112,000
Dec 14, 2004;10,640.53;10,739.33;10,621.03;10,661.60;10,661.60;18,202,400
Dec 07, 2004;10,546.80;10,642.53;10,418.63;10,638.32;10,638.32;12,842,900
Nov 30, 2004;10,475.27;10,643.05;10,425.76;10,547.06;10,547.06;13,958,500
Nov 23, 2004;10,486.69;10,557.41;10,417.08;10,475.90;10,475.90;7,980,300
Nov 16, 2004;10,549.79;10,602.85;10,432.01;10,489.42;10,489.42;12,902,700
Nov 09, 2004;10,387.62;10,563.02;10,368.59;10,550.24;10,550.24;13,725,100
Nov 02, 2004;10,053.87;10,416.67;10,011.18;10,391.31;10,391.31;16,518,500
Oct 26, 2004;9,750.59;10,076.59;9,749.55;10,054.39;10,054.39;13,144,500
Oct 19, 2004;9,958.38;10,020.55;9,708.40;9,749.99;9,749.99;13,005,300
Oct 12, 2004;10,080.42;10,127.17;9,861.63;9,956.32;9,956.32;13,067,000
Oct 05, 2004;10,216.76;10,240.95;10,036.32;10,081.97;10,081.97;11,175,400
Sep 28, 2004;9,989.73;10,270.37;9,977.92;10,216.54;10,216.54;13,485,800
Sep 21, 2004;10,204.52;10,270.52;9,985.37;9,988.54;9,988.54;10,896,200
Sep 14, 2004;10,315.13;10,340.13;10,187.19;10,204.89;10,204.89;10,814,000
Sep 07, 2004;10,261.52;10,363.36;10,237.78;10,314.76;10,314.76;10,706,900
Aug 31, 2004;10,121.97;10,321.77;10,074.22;10,260.20;10,260.20;7,324,000
Aug 24, 2004;10,074.89;10,211.25;10,062.13;10,122.52;10,122.52;6,770,100
Aug 17, 2004;9,955.50;10,131.08;9,934.05;10,073.05;10,073.05;8,903,000
Aug 10, 2004;9,815.55;9,967.08;9,783.91;9,954.55;9,954.55;9,575,800
Aug 03, 2004;10,178.27;10,178.28;9,793.05;9,814.66;9,814.66;8,907,500
Jul 27, 2004;9,963.54;10,203.56;9,963.54;10,179.16;10,179.16;10,494,500
Jul 20, 2004;10,094.43;10,237.12;9,913.92;9,961.92;9,961.92;11,828,600
Jul 13, 2004;10,238.37;10,286.89;10,063.31;10,094.06;10,094.06;11,571,500
Jul 06, 2004;10,280.26;10,280.26;10,162.18;10,238.22;10,238.22;8,585,500
Jun 29, 2004;10,356.35;10,471.24;10,264.92;10,282.83;10,282.83;7,895,100
Jun 22, 2004;10,370.21;10,498.67;10,307.25;10,357.09;10,357.09;11,679,200
Jun 15, 2004;10,336.51;10,440.05;10,336.51;10,371.47;10,371.47;10,226,000
Jun 08, 2004;10,389.41;10,432.81;10,307.05;10,334.73;10,334.73;6,659,300
Jun 01, 2004;10,187.18;10,391.15;10,134.86;10,391.08;10,391.08;8,466,500
May 25, 2004;9,958.08;10,222.24;9,915.86;10,188.45;10,188.45;7,318,800
May 18, 2004;9,906.71;10,093.21;9,900.59;9,958.43;9,958.43;9,427,400
May 11, 2004;9,989.24;10,074.11;9,852.19;9,906.91;9,906.91;10,602,000
May 04, 2004;10,314.32;10,386.32;9,932.74;9,990.02;9,990.02;10,831,500
Apr 27, 2004;10,445.38;10,537.35;10,219.18;10,314.00;10,314.00;10,942,200
Apr 20, 2004;10,437.85;10,512.79;10,250.48;10,444.73;10,444.73;11,631,900
Apr 13, 2004;10,516.05;10,552.61;10,322.16;10,437.85;10,437.85;11,038,800
Apr 06, 2004;10,553.76;10,570.81;10,393.91;10,515.56;10,515.56;7,236,800
Mar 30, 2004;10,327.63;10,558.66;10,306.15;10,558.37;10,558.37;10,403,400
Mar 23, 2004;10,066.67;10,350.45;10,007.49;10,329.63;10,329.63;10,519,700
Mar 16, 2004;10,103.41;10,328.82;10,012.16;10,064.75;10,064.75;11,051,100
Mar 09, 2004;10,529.52;10,529.70;10,092.47;10,102.89;10,102.89;12,398,200
Mar 02, 2004;10,678.36;10,678.36;10,524.59;10,529.48;10,529.48;10,312,300
Feb 24, 2004;10,609.55;10,695.55;10,521.70;10,678.14;10,678.14;10,264,000
Feb 17, 2004;10,628.88;10,753.63;10,560.44;10,609.62;10,609.62;10,045,000
Feb 10, 2004;10,578.74;10,746.88;10,559.26;10,627.85;10,627.85;8,809,900
Feb 03, 2004;10,499.48;10,618.51;10,447.18;10,579.03;10,579.03;9,429,800
Jan 27, 2004;10,701.10;10,701.77;10,417.85;10,499.18;10,499.18;11,619,800
Jan 20, 2004;10,601.40;10,705.18;10,490.96;10,702.51;10,702.51;10,793,700
Jan 13, 2004;10,485.18;10,600.74;10,367.41;10,600.51;10,600.51;8,978,500
Jan 06, 2004;10,543.85;10,592.59;10,444.15;10,485.18;10,485.18;10,759,300
Dec 30, 2003;10,449.70;10,544.07;10,384.30;10,544.07;10,544.07;6,616,500
Dec 23, 2003;10,337.56;10,450.00;10,296.15;10,450.00;10,450.00;4,431,900
Dec 16, 2003;10,023.34;10,338.00;10,023.34;10,338.00;10,338.00;10,764,300
Dec 09, 2003;9,966.45;10,139.63;9,882.38;10,022.82;10,022.82;10,849,200
Dec 02, 2003;9,899.64;9,970.16;9,837.27;9,965.27;9,965.27;11,424,200
Nov 25, 2003;9,748.68;9,902.23;9,706.01;9,899.05;9,899.05;6,415,200
Nov 18, 2003;9,711.44;9,750.46;9,585.50;9,747.79;9,747.79;10,291,100
Nov 11, 2003;9,756.53;9,892.97;9,629.87;9,710.83;9,710.83;9,843,100
Nov 04, 2003;9,857.49;9,903.57;9,736.90;9,756.53;9,756.53;9,306,000
Oct 28, 2003;9,609.72;9,896.16;9,609.72;9,858.46;9,858.46;10,873,400
Oct 21, 2003;9,778.31;9,784.31;9,497.72;9,608.16;9,608.16;11,239,700
Oct 14, 2003;9,763.27;9,850.01;9,701.72;9,777.94;9,777.94;10,016,100
Oct 07, 2003;9,593.28;9,783.49;9,536.02;9,764.38;9,764.38;9,826,200
Sep 30, 2003;9,378.10;9,666.53;9,230.47;9,594.98;9,594.98;10,691,600
Sep 23, 2003;9,535.76;9,592.67;9,293.22;9,380.24;9,380.24;10,757,400
Sep 16, 2003;9,449.16;9,686.08;9,449.16;9,535.41;9,535.41;10,771,500
Sep 09, 2003;9,584.92;9,584.95;9,380.95;9,448.81;9,448.81;9,330,700
Sep 02, 2003;9,416.67;9,609.09;9,389.58;9,586.29;9,586.29;10,664,000
Aug 26, 2003;9,316.03;9,421.23;9,233.08;9,415.82;9,415.82;6,512,800
Aug 19, 2003;9,412.17;9,499.97;9,280.94;9,317.64;9,317.64;10,805,700
Aug 12, 2003;9,218.12;9,419.38;9,208.80;9,412.45;9,412.45;7,920,900
Aug 05, 2003;9,185.27;9,251.59;8,997.11;9,217.35;9,217.35;9,214,300
Jul 29, 2003;9,268.19;9,361.40;9,048.58;9,186.04;9,186.04;10,567,000
Jul 22, 2003;9,098.65;9,303.83;9,037.30;9,266.51;9,266.51;10,257,500
Jul 15, 2003;9,179.18;9,238.01;9,017.84;9,096.69;9,096.69;12,301,300
Jul 08, 2003;9,213.48;9,278.41;8,996.76;9,177.15;9,177.15;11,558,700
Jul 01, 2003;8,983.66;9,261.12;8,871.20;9,216.79;9,216.79;8,513,300
